date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:30	79838/79838	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-137de%22	http://findmatthew.com/img/slides/roambi-2.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/roambi-2.jpg	(from http://findmatthew.com/)
14:28:31	161672/161672	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-27788%22	http://findmatthew.com/img/slides/roambi-0.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/roambi-0.jpg	(from http://findmatthew.com/)
14:28:35	282769/282769	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-45091%22	http://findmatthew.com/img/slides/powur-1.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/powur-1.jpg	(from http://findmatthew.com/)
14:28:40	55212/55212	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-d7ac%22	http://findmatthew.com/img/slides/themall-2.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/themall-2.jpg	(from http://findmatthew.com/)
14:28:45	59850/59850	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-e9ca%22	http://findmatthew.com/img/slides/walker-0.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/walker-0.jpg	(from http://findmatthew.com/)
14:28:49	119836/119836	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-1d41c%22	http://findmatthew.com/img/slides/themall-1.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/themall-1.jpg	(from http://findmatthew.com/)
14:28:52	2057/2057	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-809%22	http://findmatthew.com/scripts/canvas.js	C:/My%20Web%20Sites/porta/findmatthew.com/scripts/canvas.js	(from http://findmatthew.com/)
14:28:53	87638/87638	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-15656%22	http://findmatthew.com/img/slides/walker-1.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/walker-1.jpg	(from http://findmatthew.com/)
14:28:54	57249/57249	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-dfa1%22	http://findmatthew.com/img/slides/walker-2.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/walker-2.jpg	(from http://findmatthew.com/)
14:28:54	173662/173662	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-2a65e%22	http://findmatthew.com/img/slides/themall-0.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/themall-0.jpg	(from http://findmatthew.com/)
